date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#loc+market+code,#geo+lat,#geo+lon,#item+type,#item+name,#item+code,#item+unit,#item+price+flag,#item+price+type,#currency+code,#value,#value+usd
2013-01-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,9828.7,2.29
2013-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,458.06,0.11
2013-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3228.83,0.76
2013-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,13685.24,3.2
2013-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,21269.84,4.98
2013-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,6857.14,1.61
2013-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,9415.58,2.21
2013-02-15,Eastern,Kenema,Kenema,342,7.88,-11.19,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,632.51,0.15
2013-02-15,Eastern,Kenema,Kenema,342,7.88,-11.19,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3200,0.75
2013-02-15,Eastern,Kenema,Kenema,342,7.88,-11.19,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3800,0.89
2013-02-15,Eastern,Kenema,Kenema,342,7.88,-11.19,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,5041.21,1.18
2013-02-15,Eastern,Kenema,Kenema,342,7.88,-11.19,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,22222.22,5.2
2013-02-15,Eastern,Kenema,Kenema,342,7.88,-11.19,miscellaneous food,"Chili (red, dry raw)",466,KG,actual,Retail,SLL,5882.35,1.38
2013-02-15,Eastern,Kenema,Kenema,342,7.88,-11.19,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,9444.44,2.21
2013-02-15,Eastern,Kenema,Kenema,342,7.88,-11.19,pulses and nuts,Beans (fava),104,KG,actual,Retail,SLL,3200,0.75
2013-02-15,Eastern,Kenema,Kenema,342,7.88,-11.19,pulses and nuts,Groundnuts (shelled),119,KG,actual,Retail,SLL,7596.15,1.78
2013-02-15,Eastern,Kenema,Kenema,342,7.88,-11.19,pulses and nuts,Pigeon peas,155,KG,actual,Retail,SLL,3200,0.75
2013-02-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,1028.75,0.24
2013-02-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3200,0.75
2013-02-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,8395.6,1.97
2013-02-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,miscellaneous food,"Chili (red, dry raw)",466,KG,actual,Retail,SLL,10000,2.34
2013-02-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,11282.05,2.64
2013-02-15,Northern,Bombali,Bombali,1776,9.25,-12.16,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,636.82,0.15
2013-02-15,Northern,Bombali,Bombali,1776,9.25,-12.16,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3423.08,0.8
2013-02-15,Northern,Bombali,Bombali,1776,9.25,-12.16,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,24695.12,5.78
2013-02-15,Northern,Bombali,Bombali,1776,9.25,-12.16,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,10941.67,2.56
2013-02-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3200,0.75
2013-02-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3461.54,0.81
2013-02-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,6666.67,1.56
2013-02-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,pulses and nuts,Beans (fava),104,KG,actual,Retail,SLL,3846.15,0.9
2013-02-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,8000,1.87
2013-02-15,Southern,Bonthe,Bonthe,1774,7.53,-12.5,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3800,0.89
2013-02-15,Southern,Bonthe,Bonthe,1774,7.53,-12.5,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,4400,1.03
2013-02-15,Southern,Bonthe,Bonthe,1774,7.53,-12.5,miscellaneous food,"Chili (red, dry raw)",466,KG,actual,Retail,SLL,12500,2.93
2013-02-15,Southern,Bonthe,Bonthe,1774,7.53,-12.5,pulses and nuts,Groundnuts (shelled),119,KG,actual,Retail,SLL,8000,1.87
2013-02-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,490.74,0.11
2013-02-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,4000,0.94
2013-02-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3840,0.9
2013-02-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,1965.75,0.46
2013-02-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,20000,4.68
2013-02-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,13800,3.23
2013-02-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,15000,3.51
2013-02-15,Southern,Pujehun,Pujehun,350,7.36,-11.72,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,515.46,0.12
2013-02-15,Southern,Pujehun,Pujehun,350,7.36,-11.72,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,4000,0.94
2013-02-15,Southern,Pujehun,Pujehun,350,7.36,-11.72,miscellaneous food,"Chili (red, dry raw)",466,KG,actual,Retail,SLL,1308.9,0.31
2013-02-15,Southern,Pujehun,Pujehun,350,7.36,-11.72,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,8333.33,1.95
2013-02-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,352.44,0.083
2013-02-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3733.33,0.87
2013-02-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,4000,0.94
2013-02-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,25925.93,6.07
2013-02-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,miscellaneous food,"Chili (red, dry raw)",466,KG,actual,Retail,SLL,10175.44,2.38
2013-02-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,12974.36,3.04
2013-02-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,pulses and nuts,Pigeon peas,155,KG,actual,Retail,SLL,5333.33,1.25
2013-02-15,Western Area,Western Urban,Freetown,1772,8.47,-13.23,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,10588.24,2.48
2013-03-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,370.94,0.087
2013-03-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3521.62,0.82
2013-03-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3521.62,0.82
2013-03-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,13586.31,3.18
2013-03-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,21666.67,5.07
2013-03-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,miscellaneous food,"Chili (red, dry raw)",466,KG,actual,Retail,SLL,8695.65,2.04
2013-03-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,5083.33,1.19
2013-03-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,pulses and nuts,Groundnuts (shelled),119,KG,actual,Retail,SLL,8428.03,1.97
2013-03-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,9090.91,2.13
2013-03-15,Eastern,Kenema,Kenema,342,7.88,-11.19,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3200,0.75
2013-03-15,Eastern,Kenema,Kenema,342,7.88,-11.19,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,22222.22,5.2
2013-03-15,Eastern,Kenema,Kenema,342,7.88,-11.19,miscellaneous food,"Chili (red, dry raw)",466,KG,actual,Retail,SLL,5882.35,1.38
2013-03-15,Eastern,Kenema,Kenema,342,7.88,-11.19,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,6166.67,1.44
2013-03-15,Eastern,Kenema,Kenema,342,7.88,-11.19,pulses and nuts,Groundnuts (shelled),119,KG,actual,Retail,SLL,6282.05,1.47
2013-03-15,Eastern,Kenema,Kenema,342,7.88,-11.19,pulses and nuts,Pigeon peas,155,KG,actual,Retail,SLL,4000,0.94
2013-03-15,Eastern,Kono,Kono,1788,8.65,-10.98,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,2666.67,0.62
2013-03-15,Eastern,Kono,Kono,1788,8.65,-10.98,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3000,0.7
2013-03-15,Eastern,Kono,Kono,1788,8.65,-10.98,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,8000,1.87
2013-03-15,Eastern,Kono,Kono,1788,8.65,-10.98,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,8000,1.87
2013-03-15,Northern,Bombali,Bombali,1776,9.25,-12.16,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,799.46,0.19
2013-03-15,Northern,Bombali,Bombali,1776,9.25,-12.16,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3296.5,0.77
2013-03-15,Northern,Bombali,Bombali,1776,9.25,-12.16,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3286.71,0.77
2013-03-15,Northern,Bombali,Bombali,1776,9.25,-12.16,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,24593.5,5.76
2013-03-15,Northern,Bombali,Bombali,1776,9.25,-12.16,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,7225.38,1.69
2013-03-15,Northern,Bombali,Bombali,1776,9.25,-12.16,pulses and nuts,Beans (fava),104,KG,actual,Retail,SLL,4055.94,0.95
2013-03-15,Northern,Bombali,Bombali,1776,9.25,-12.16,pulses and nuts,Groundnuts (shelled),119,KG,actual,Retail,SLL,6461.54,1.51
2013-03-15,Northern,Bombali,Bombali,1776,9.25,-12.16,pulses and nuts,Pigeon peas,155,KG,actual,Retail,SLL,2342.66,0.55
2013-03-15,Northern,Bombali,Bombali,1776,9.25,-12.16,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,10101.85,2.37
2013-03-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,2533.33,0.59
2013-03-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3600,0.84
2013-03-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,5666.67,1.33
2013-03-15,Northern,Tonkolili,Tonkolili,1777,8.98,-11.79,pulses and nuts,Groundnuts (shelled),119,KG,actual,Retail,SLL,8200,1.92
2013-03-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,526.63,0.12
2013-03-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,4000,0.94
2013-03-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,2096.77,0.49
2013-03-15,Southern,Moyamba,Moyamba,1775,8.16,-12.44,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,20000,4.68
